period_start,post_count
2023-08-07,151
2023-08-08,190
2023-08-09,176
2023-08-10,238
2023-08-11,100
2023-08-12,159
2023-08-13,99
2023-08-14,129
2023-08-15,196
2023-08-16,187
2023-08-17,182
2023-08-18,297
2023-08-19,303
2023-08-20,99
2023-08-21,178
2023-08-22,190
2023-08-23,202
2023-08-24,205
2023-08-25,238
2023-08-26,98
2023-08-27,149
2023-08-28,329
2023-08-29,199
2023-08-30,241
2023-08-31,289
2023-09-01,198
2023-09-02,100
2023-09-03,266
2023-09-04,96
2023-09-05,330
2023-09-06,391
2023-09-07,261
2023-09-08,297
2023-09-09,99
2023-09-10,226
2023-09-11,277
2023-09-12,291
2023-09-13,267
2023-09-14,281
2023-09-15,283
2023-09-16,194
2023-09-17,179
2023-09-18,255
2023-09-19,316
2023-09-20,358
2023-09-21,298
2023-09-22,319
2023-09-23,311
2023-09-24,164
2023-09-25,284
2023-09-26,298
2023-09-27,257
2023-09-28,199
2023-09-29,364
2023-09-30,210
2023-10-01,248
2023-10-02,367
2023-10-03,421
2023-10-04,375
2023-10-05,449
2023-10-06,361
2023-10-07,248
2023-10-08,207
2023-10-09,241
2023-10-10,311
2023-10-11,471
2023-10-12,452
2023-10-13,296
2023-10-14,277
2023-10-15,199
2023-10-16,297
2023-10-17,388
2023-10-18,764
2023-10-19,501
2023-10-20,472
2023-10-21,299
2023-10-22,250
2023-10-23,389
2023-10-24,472
2023-10-25,298
2023-10-26,367
2023-10-27,406
2023-10-28,198
2023-10-29,238
2023-10-30,339
2023-10-31,358
2023-11-01,357
2023-11-02,338
2023-11-03,361
2023-11-04,291
2023-11-05,245
2023-11-06,241
2023-11-07,341
2023-11-08,350
2023-11-09,443
2023-11-10,402
2023-11-11,298
2023-11-12,211
2023-11-13,324
2023-11-14,364
2023-11-15,345
2023-11-16,422
2023-11-17,410
2023-11-18,282
2023-11-19,263
2023-11-20,390
2023-11-21,297
2023-11-22,378
2023-11-23,308
2023-11-24,384
2023-11-25,304
2023-11-26,226
2023-11-27,337
2023-11-28,310
2023-11-29,460
