period_start,post_count
2024-03-15,42
2024-03-16,26
2024-03-17,34
2024-03-18,48
2024-03-19,51
2024-03-20,35
2024-03-21,31
2024-03-22,35
2024-03-23,28
2024-03-24,46
2024-03-25,48
2024-03-26,50
2024-03-27,40
2024-03-28,33
2024-03-29,34
2024-03-30,46
2024-03-31,41
2024-04-01,47
2024-04-02,62
2024-04-03,35
2024-04-04,42
2024-04-05,61
2024-04-06,31
2024-04-07,30
2024-04-08,46
2024-04-09,57
2024-04-10,39
2024-04-11,25
2024-04-12,36
2024-04-13,31
2024-04-14,34
2024-04-15,93
2024-04-16,45
2024-04-17,32
2024-04-18,34
2024-04-19,20
2024-04-20,46
2024-04-21,67
2024-04-22,45
2024-04-23,39
2024-04-24,28
2024-04-25,41
2024-04-26,40
2024-04-27,75
2024-04-28,32
2024-04-29,37
2024-04-30,40
2024-05-01,29
2024-05-02,39
2024-05-03,42
2024-05-04,32
2024-05-05,45
2024-05-06,32
2024-05-07,60
2024-05-08,36
2024-05-09,33
2024-05-10,19
2024-05-11,51
2024-05-12,29
2024-05-13,38
2024-05-14,32
2024-05-15,42
2024-05-16,35
2024-05-17,34
2024-05-18,35
2024-05-19,33
2024-05-20,38
2024-05-21,39
2024-05-22,29
2024-05-23,72
2024-05-24,36
2024-05-25,32
2024-05-26,34
2024-05-27,39
2024-05-28,27
2024-05-29,24
2024-05-30,36
2024-05-31,28
2024-06-01,28
2024-06-02,20
2024-06-03,33
2024-06-04,41
2024-06-05,34
2024-06-06,58
2024-06-07,62
2024-06-08,26
2024-06-09,30
2024-06-10,23
2024-06-11,27
2024-06-12,77
2024-06-13,23
2024-06-14,39
2024-06-15,19
2024-06-16,21
2024-06-17,36
2024-06-18,37
2024-06-19,22
2024-06-20,38
2024-06-21,38
2024-06-22,48
2024-06-23,26
2024-06-24,28
2024-06-25,36
2024-06-26,39
2024-06-27,42
2024-06-28,52
2024-06-29,38
2024-06-30,35
2024-07-01,34
2024-07-02,26
2024-07-03,43
2024-07-04,32
2024-07-05,30
2024-07-06,32
2024-07-07,43
2024-07-08,25
2024-07-09,24
2024-07-10,36
2024-07-11,55
2024-07-12,43
2024-07-13,32
2024-07-14,46
2024-07-15,47
2024-07-16,42
