period_start,post_count
2023-06-18,71
2023-06-19,61
2023-06-20,138
2023-06-22,93
2023-06-23,72
2023-06-24,82
2023-06-25,68
2023-06-26,72
2023-06-27,58
2023-06-28,99
2023-06-29,51
2023-06-30,100
2023-07-01,317
2023-07-02,113
2023-07-03,118
2023-07-04,115
2023-07-05,107
2023-07-06,199
2023-07-07,102
2023-07-08,200
2023-07-09,111
2023-07-10,195
2023-07-11,199
2023-07-12,123
2023-07-13,94
2023-07-14,100
2023-07-15,100
2023-07-16,12
2023-07-17,199
2023-07-18,174
2023-07-19,140
2023-07-20,99
2023-07-21,96
2023-07-22,62
2023-07-23,98
2023-07-24,233
2023-07-25,98
2023-07-26,118
2023-07-27,129
2023-07-28,297
2023-07-29,20
2023-07-30,196
2023-07-31,240
2023-08-01,98
2023-08-02,166
2023-08-03,100
2023-08-04,297
2023-08-05,37
2023-08-06,99
2023-08-07,197
2023-08-08,105
2023-08-09,197
2023-08-10,184
2023-08-11,100
2023-08-12,276
2023-08-13,99
2023-08-14,219
2023-08-15,197
2023-08-16,147
2023-08-17,199
2023-08-18,197
2023-08-19,382
2023-08-20,96
2023-08-21,145
2023-08-22,198
2023-08-23,279
2023-08-24,296
2023-08-25,297
2023-08-26,99
2023-08-27,199
2023-08-28,386
2023-08-29,172
2023-08-30,275
2023-08-31,294
2023-09-01,196
2023-09-02,93
2023-09-03,296
2023-09-04,99
2023-09-05,266
2023-09-06,379
2023-09-07,271
2023-09-08,297
2023-09-09,98
2023-09-10,219
2023-09-11,297
2023-09-12,204
2023-09-13,267
2023-09-14,298
2023-09-15,294
2023-09-16,155
2023-09-17,198
2023-09-18,269
2023-09-19,397
2023-09-20,393
2023-09-21,227
2023-09-22,396
2023-09-23,325
2023-09-24,198
2023-09-25,292
2023-09-26,297
2023-09-27,212
2023-09-28,199
2023-09-29,395
2023-09-30,223
2023-10-01,297
2023-10-02,368
2023-10-03,425
2023-10-04,384
2023-10-05,454
2023-10-06,365
2023-10-07,299
2023-10-08,269
2023-10-09,290
2023-10-10,389
2023-10-11,571
2023-10-12,448
2023-10-13,247
2023-10-14,275
2023-10-15,294
2023-10-16,235
2023-10-17,395
2023-10-18,660
2023-10-19,555
2023-10-20,522
2023-10-21,295
2023-10-22,232
2023-10-23,351
2023-10-24,531
2023-10-25,295
2023-10-26,340
2023-10-27,472
2023-10-28,200
2023-10-29,246
2023-10-30,324
2023-10-31,332
2023-11-01,399
2023-11-02,307
2023-11-03,367
2023-11-04,298
2023-11-05,295
2023-11-06,241
2023-11-07,398
2023-11-08,329
2023-11-09,474
2023-11-10,492
2023-11-11,273
2023-11-12,284
2023-11-13,391
2023-11-14,381
2023-11-15,321
2023-11-16,420
2023-11-17,495
2023-11-18,199
2023-11-19,297
2023-11-20,464
2023-11-21,218
2023-11-22,397
2023-11-23,322
2023-11-24,352
2023-11-25,395
2023-11-26,280
2023-11-27,381
2023-11-28,395
2023-11-29,482
2023-11-30,461
2023-12-01,395
2023-12-02,294
2023-12-03,297
2023-12-04,482
2023-12-05,394
2023-12-06,388
2023-12-07,368
2023-12-08,395
2023-12-09,263
2023-12-10,196
2023-12-11,394
2023-12-12,396
2023-12-13,404
2023-12-14,461
2023-12-15,368
2023-12-16,297
2023-12-17,286
2023-12-18,396
2023-12-19,351
2023-12-20,397
2023-12-21,460
2023-12-22,489
2023-12-23,295
2023-12-24,285
2023-12-25,196
2023-12-26,297
2023-12-27,298
2023-12-28,300
2023-12-29,331
2023-12-30,283
2023-12-31,298
2024-01-01,284
2024-01-02,397
2024-01-03,345
2024-01-04,371
2024-01-05,395
2024-01-06,286
2024-01-07,296
2024-01-08,351
2024-01-09,393
2024-01-10,439
2024-01-11,393
2024-01-12,489
2024-01-13,395
2024-01-14,298
2024-01-15,296
2024-01-16,374
2024-01-17,498
2024-01-18,475
2024-01-19,464
2024-01-20,199
2024-01-21,257
2024-01-22,293
2024-01-23,397
2024-01-24,570
2024-01-25,392
2024-01-26,326
2024-01-27,296
2024-01-28,229
2024-01-29,296
2024-01-30,328
2024-01-31,333
2024-02-01,444
2024-02-02,473
2024-02-03,395
2024-02-04,244
2024-02-05,398
2024-02-06,354
2024-02-07,512
2024-02-08,491
2024-02-09,472
2024-02-10,396
2024-02-11,383
2024-02-12,417
2024-02-13,257
2024-02-14,491
2024-02-15,498
2024-02-16,682
2024-02-17,393
2024-02-18,251
2024-02-19,394
2024-02-20,314
2024-02-21,354
2024-02-22,495
2024-02-23,311
2024-02-24,267
2024-02-25,397
2024-02-26,453
2024-02-27,447
2024-02-28,477
2024-02-29,369
2024-03-01,384
2024-03-02,492
2024-03-03,201
2024-03-04,424
2024-03-05,399
2024-03-06,496
2024-03-07,480
2024-03-08,422
2024-03-09,344
2024-03-10,395
2024-03-11,359
2024-03-12,467
2024-03-13,497
2024-03-14,469
2024-03-15,391
2024-03-16,378
2024-03-17,298
2024-03-18,394
2024-03-19,325
