variable,value
control_posts,24.496270501855605
control_posts,34.75261110687404
control_posts,20.979083764740153
control_posts,33.24795870551671
control_posts,32.01035236307712
control_posts,27.936499489899575
control_posts,27.761685964028914
control_posts,26.678140516659823
control_posts,26.02282264707665
control_posts,23.871292251961307
control_posts,39.92202604399591
control_posts,26.060357073651005
control_posts,27.5088181134887
control_posts,38.779568542281595
control_posts,36.25798078859822
control_posts,23.273127225822435
control_posts,25.410187753401544
control_posts,30.880079148369987
control_posts,20.361072666926702
control_posts,31.28719438567066
control_posts,30.88498068692948
control_posts,46.04908106341952
control_posts,33.64989217937804
control_posts,40.08093850439582
season_lag2,28.06271423646828
season_lag2,32.83150622065642
season_lag2,38.18278137083476
season_lag2,27.356918437166087
season_lag2,45.02446362186143
season_lag2,19.858596608485698
season_lag2,27.433058483273555
season_lag2,43.965372906506786
season_lag2,30.41716331509207
season_lag2,26.15085285617738
season_lag2,39.402709731524055
season_lag2,36.18350364070065
season_lag2,35.808674861124445
season_lag2,25.85738181056624
season_lag2,39.21946314067017
season_lag2,46.711941817081
season_lag2,29.41625517843056
season_lag2,38.32515160583961
season_lag2,31.972877945080597
season_lag2,40.430699923937624
season_lag2,30.073392101046068
season_lag2,47.21582715499969
season_lag2,28.492015235874874
season_lag2,45.70436027665963
season_lag2,41.22643196818629
season_lag1,35.96458615081869
season_lag1,51.67426839125167
season_lag1,59.130837000104464
season_lag1,44.781942849532015
season_lag1,60.6756286456845
season_lag1,30.474327334563355
season_lag1,41.77941814145066
season_lag1,71.12465013669942
season_lag1,51.394905413405695
season_lag1,38.94875580391923
season_lag1,60.32147249000482
season_lag1,52.66800697827637
season_lag1,58.734782531075524
season_lag1,39.82549594005792
season_lag1,60.132851713483376
season_lag1,70.7644907075472
season_lag1,44.49112414708085
season_lag1,46.362270346394865
season_lag1,43.95105063656197
season_lag1,56.66267343473248
season_lag1,46.83513824897457
season_lag1,59.61586103097258
season_lag1,51.486093697537854
season_lag1,63.720208779448654
season_lag1,53.66154750259449
control_posts_lag2,72.66117814191364
control_posts_lag2,74.21575666335053
control_posts_lag2,75.70234628620807
control_posts_lag2,78.48941628581466
control_posts_lag2,71.30874986105525
control_posts_lag2,56.97586775081905
control_posts_lag2,61.16860738415639
control_posts_lag2,77.46821860385256
control_posts_lag2,53.979247805694655
control_posts_lag2,63.85280493631299
control_posts_lag2,81.56588127142925
control_posts_lag2,62.11696937737466
